source,destination,mode,cost,duration_hours,distance_km
Mumbai,Delhi,flight,4750,2.5,1153.2
Mumbai,Bengaluru,flight,3544,1.09,845.3
Mumbai,Kolkata,flight,6004,3.54,1654.8
Mumbai,Chennai,flight,4394,1.87,1033.1
Mumbai,Hyderabad,train,344,11.59,621.5
Mumbai,Pune,train,119,1.38,120.2
Mumbai,Pune,flight,1138,0.2,120.2
Mumbai,Ahmedabad,train,293,4.92,440.0
Mumbai,Jaipur,train,535,13.14,920.7
Mumbai,Jaipur,flight,4048,1.77,920.7
Mumbai,Surat,train,158,3.91,232.9
Mumbai,Lucknow,flight,4402,2.09,1194.7
Mumbai,Kanpur,train,616,24.47,1120.3
Mumbai,Nagpur,train,421,12.03,688.0
Mumbai,Indore,train,307,9.79,509.8
Mumbai,Indore,flight,2340,1.0,509.8
Mumbai,Thane,train,58,0.38,19.0
Mumbai,Bhopal,train,414,9.28,661.4
Mumbai,Visakhapatnam,train,640,19.29,1101.9
Mumbai,Visakhapatnam,flight,3856,1.84,1101.9
Mumbai,Pimpri-Chinchwad,train,101,1.59,109.0
Mumbai,Patna,train,779,17.28,1453.2
Mumbai,Patna,flight,5449,2.18,1453.2
Mumbai,Vadodara,train,247,5.41,360.7
Mumbai,Ghaziabad,flight,4208,2.44,1163.4
Mumbai,Ludhiana,flight,5277,2.22,1348.5
Mumbai,Agra,flight,3587,1.95,1042.0
Mumbai,Nashik,train,127,1.74,140.1
Mumbai,Faridabad,flight,4009,1.73,1131.6
Mumbai,Meerut,flight,4906,2.22,1205.6
Mumbai,Rajkot,flight,2014,0.79,418.8
Mumbai,Kalyan,train,71,0.44,32.1
Mumbai,Vasai-Virar,train,72,0.57,35.3
Mumbai,Vasai-Virar,flight,987,0.05,35.3
Mumbai,Varanasi,flight,4936,2.38,1249.1
Mumbai,Srinagar,flight,5603,2.63,1679.6
Mumbai,Dhanbad,flight,5360,2.21,1496.8
Mumbai,Jodhpur,train,435,10.82,796.6
Mumbai,Amritsar,flight,4693,2.68,1410.6
Mumbai,Nanded,train,267,6.34,466.9
Mumbai,Gwalior,train,545,13.05,962.6
Mumbai,Gwalior,flight,3970,1.96,962.6
Mumbai,Kolhapur,train,190,4.66,300.8
Mumbai,Bhubaneswar,flight,5346,2.16,1361.9
Mumbai,Solapur,train,206,6.38,356.3
Mumbai,Solapur,flight,1835,0.71,356.3
Mumbai,Mangalore,flight,3210,1.27,717.0
Mumbai,Tiruchirappalli,train,636,17.65,1113.5
Mumbai,BiharSharif,train,817,17.49,1468.2
Mumbai,BiharSharif,flight,4767,2.65,1468.2
Mumbai,Aligarh,train,653,13.37,1115.2
Mumbai,Tirunelveli,flight,4167,1.85,1266.5
Mumbai,Bhiwandi,train,64,0.53,29.9
Mumbai,Saharanpur,flight,4858,1.88,1299.1
Mumbai,Gorakhpur,flight,4953,2.16,1372.0
Mumbai,Jalandhar,flight,4798,2.31,1388.8
Mumbai,Jamshedpur,flight,5157,1.9,1443.9
Mumbai,Salem,flight,4338,1.41,998.9
Mumbai,Warangal,train,418,9.4,718.7
Mumbai,Mira-Bhayandar,train,60,0.45,22.8
Mumbai,Thiruvananthapuram,flight,4114,2.45,1252.3
Mumbai,Bhilai,flight,3852,1.87,923.1
Mumbai,Ujjain,train,340,10.35,546.8
Mumbai,Ujjain,flight,2309,0.73,546.8
Mumbai,Durgapur,flight,5672,2.45,1573.9
Mumbai,Asansol,train,791,32.23,1544.2
Mumbai,Asansol,flight,5520,2.35,1544.2
Mumbai,Rourkela,flight,4688,1.75,1294.8
Mumbai,Nellore,flight,3280,1.51,915.3
Mumbai,Dehradun,flight,5496,1.91,1353.5
Mumbai,Davanagere,train,367,12.11,606.5
Mumbai,Kozhikode,flight,4085,1.3,923.3
Mumbai,Akola,train,292,5.58,468.0
Mumbai,Kurnool,train,345,7.42,655.6
Mumbai,Nizamabad,flight,2337,1.2,550.7
Mumbai,Guntur,flight,3868,1.88,857.8
Mumbai,Amravati,train,332,11.97,551.1
Mumbai,Kakinada,flight,3676,2.04,1017.3
Mumbai,Tirupati,flight,3627,2.03,923.9
Mumbai,Puri,flight,5277,1.85,1360.3
Mumbai,Shimoga,train,351,8.62,640.0
Mumbai,Shimoga,flight,2449,0.86,640.0
Mumbai,Ongole,flight,3096,1.68,858.6
Mumbai,Bathinda,flight,4852,1.58,1255.6
Mumbai,Darbhanga,flight,5393,2.86,1549.0
Mumbai,Satara,train,158,3.2,194.8
Mumbai,Proddatur,train,404,9.66,771.6
Mumbai,Kollam,flight,3981,2.16,1201.7
Mumbai,Ambala,flight,4959,1.88,1316.7
Mumbai,Siliguri,flight,6122,2.48,1802.7
Mumbai,Rohtak,flight,4303,1.87,1155.5
Mumbai,Etawah,train,582,18.93,1062.5
Mumbai,Orai,train,535,11.45,1023.4
Mumbai,Orai,flight,3853,1.33,1023.4
Mumbai,Haldwani,flight,4562,1.91,1312.7
Mumbai,Muzaffarpur,flight,4779,2.21,1503.1
Mumbai,Ramagundam,flight,2835,1.29,703.4
Mumbai,Baripada,flight,4910,2.35,1478.1
Mumbai,Tezpur,flight,8060,4.12,2204.0
Mumbai,Korba,flight,4126,1.75,1089.4
Mumbai,Nagapattinam,train,674,13.98,1188.0
Mumbai,Mahbubnagar,train,365,8.19,599.4
Mumbai,Mahbubnagar,flight,2787,1.09,599.4
Mumbai,Buxar,flight,5060,2.11,1366.5
Mumbai,Sagar,train,448,9.8,804.9
Mumbai,Sagar,flight,3235,1.43,804.9
Mumbai,Chittoor,train,465,13.6,930.4
Mumbai,Chittoor,flight,3647,1.55,930.4
Mumbai,Arrah,flight,4808,2.41,1409.9
Mumbai,Bharuch,train,181,4.06,292.7
Mumbai,Bharuch,flight,1700,0.4,292.7
Mumbai,Balasore,flight,5400,1.92,1489.6
Mumbai,Jalgaon,train,246,4.11,353.3
Mumbai,Jalgaon,flight,1807,0.56,353.3
Mumbai,Palakkad,train,584,21.62,1006.9
Mumbai,Unnao,flight,4261,2.26,1137.9
Mumbai,Bilaspur,train,555,12.88,1020.1
Mumbai,Bilaspur,flight,4101,1.52,1020.1
Delhi,Mumbai,train,637,14.58,1153.2
Delhi,Mumbai,flight,3895,1.58,1153.2
Delhi,Bengaluru,flight,6321,3.08,1750.1
Delhi,Kolkata,flight,5081,2.04,1317.8
Delhi,Chennai,flight,5597,3.17,1767.7
Delhi,Hyderabad,flight,4852,2.59,1266.5
Delhi,Pune,train,634,16.14,1179.5
Delhi,Ahmedabad,train,466,15.16,777.4
Delhi,Ahmedabad,flight,3448,1.22,777.4
Delhi,Jaipur,train,160,3.0,237.5
Delhi,Surat,flight,4076,1.54,941.7
Delhi,Lucknow,train,272,8.3,430.8
Delhi,Kanpur,train,262,7.25,405.1
Delhi,Nagpur,train,529,9.64,863.9
Delhi,Indore,train,395,7.58,677.0
Delhi,Indore,flight,2795,1.0,677.0
Delhi,Thane,train,604,18.67,1134.7
Delhi,Thane,flight,3916,1.84,1134.7
Delhi,Bhopal,train,319,10.75,606.2
Delhi,Bhopal,flight,2505,1.15,606.2
Delhi,Visakhapatnam,flight,5167,2.3,1374.6
Delhi,Pimpri-Chinchwad,train,604,15.59,1169.4
Delhi,Patna,flight,3826,1.51,866.7
Delhi,Vadodara,train,473,11.45,812.7
Delhi,Vadodara,flight,3672,1.06,812.7
Delhi,Ghaziabad,train,73,0.76,34.5
Delhi,Ludhiana,train,194,4.12,272.2
Delhi,Agra,train,150,3.5,191.7
Delhi,Nashik,flight,3495,1.58,1024.5
Delhi,Faridabad,train,74,0.67,39.0
Delhi,Meerut,train,80,0.79,66.6
Delhi,Rajkot,flight,3473,1.26,951.6
Delhi,Kalyan,train,671,12.8,1127.0
Delhi,Kalyan,flight,3777,2.16,1127.0
Delhi,Vasai-Virar,flight,4713,1.78,1122.1
Delhi,Varanasi,train,395,8.31,692.7
Delhi,Srinagar,flight,2484,1.33,636.9
Delhi,Dhanbad,flight,3896,1.78,1077.9
Delhi,Jodhpur,train,273,9.35,486.8
Delhi,Amritsar,train,221,5.63,390.0
Delhi,Nanded,train,618,20.54,1062.2
Delhi,Gwalior,train,210,3.48,296.2
Delhi,Gwalior,flight,1617,0.62,296.2
Delhi,Kolhapur,flight,5607,1.96,1366.0
Delhi,Bhubaneswar,flight,5153,1.81,1284.7
Delhi,Solapur,flight,5093,1.87,1234.1
Delhi,Mangalore,flight,6296,2.78,1771.1
Delhi,Tiruchirappalli,flight,7103,3.59,1998.9
Delhi,BiharSharif,train,530,15.34,920.4
Delhi,Aligarh,train,125,1.82,131.7
